Year,Accounting and Actuarial Science,advertising and public relations,aerospace engineering,agriculture production and management,animal sciences,anthropology and archeology,architecture,"area, ethnic, and civilization studies",art and music education,art history and criticism,Average of all Majors,Biochemistry and Molecular Biology,biology,"Botany, Ecology, and Zoology",business economics,business management and administration,Chemical and Biological Engineering,chemistry,Civil and Architectural Egineering,commercial art and graphic design,communication disorders sciences and services,communication technologies,communications,community and public health,composition and speech,computer engineering,computer science,construction services,criminal justice and fire protection,criminology,drama and theater arts,early childhood education,economics,electrical engineering,elementary education,Energy and Extraction Engineering,engineering technologies,english language and literature,environmental science,family and consumer sciences,"film, video and photographic arts",finance,fine arts,forestry,general agriculture,general education,general engineering,general medical and health services,General Physical Science,general social sciences,geography,Geology and Earth Science,health and medical administrative services,history,hospitality management,human resources and personnel management,human services and community organization,Industrial and Environmental Engineering,intercultural and international studies,interdisciplinary and multi-disciplinary studies (general),interdisciplinary social sciences,international business,international relations,journalism,language and drama education,liberal arts,Linguistics and Foreign Languages,management information systems and statistics,marketing and marketing research,mass media,Math and Science Teacher Education,Mathematics and Statistics,"Mechanical, Biomedical, and Marine Engineering",medical assisting services,medical technologies technicians,"Microbiology, Physiology, Pharmacology, Genetics, and Neuroscience",music,natural resources management,nursing,nutrition sciences,"operations, logistics and e-commerce",philosophy and religious studies,physical and health education teaching,"physical fitness, parks, recreation, and leisure","Physics, Astronomy, and Astrophysics",plant science and agronomy,political science and government,psychology,Public Administration and Public Policy,secondary teacher education,social science or history teacher education,social work,sociology,special needs education,studio arts,theology and religious vocations,transportation sciences and technologies,treatment therapy professions,visual and performing arts
1,21307.973,15883.768,21516.779,22373.371,10742.587,8146.1387,11270.694,11488.144,10589.178,6353.5068,12784.783,9588.5869,9530.2607,10121.286,30738.256,16942.686,26109.418,12145.544,28198.172,12707.014,6392.3916,12891.104,10742.587,9503.8281,10589.178,23296.191,23526.266,32227.762,12707.014,10589.178,7624.208,11648.096,20410.916,26472.945,12532.521,24020.664,26472.945,9921.5791,10589.178,13765.932,8894.9092,21931.912,8047.7754,20492.17,15883.768,15039.622,25615.213,8271.792,7734.6631,10653.986,14915.58,12891.104,16393.736,9399.3906,15576.752,21307.973,19060.521,26634.965,12891.104,10420.31,8259.5586,16113.881,10742.587,16113.881,12532.521,9131.1992,8594.0703,24291.088,19112.094,7457.79,10589.178,16513.678,29831.16,10246.085,24590.605,10246.085,6392.3916,12090.381,21931.912,10742.587,25615.213,8523.1885,10041.164,8594.0703,10443.768,21485.174,12532.521,10653.986,20492.17,12891.104,16113.881,10246.085,9668.3291,12071.663,8355.0137,10246.085,15369.128,10246.085,8471.3428
2,27531.863,22767.412,49085.707,28198.172,14725.712,13965.363,27700.363,12784.783,20492.17,12784.783,20242.572,19467.563,14915.58,12295.303,24707.951,22036.35,41775.07,19177.174,46168.816,16113.881,13368.022,13576.897,20887.535,20887.535,10205.458,40821.832,30738.256,40984.34,18799.527,15874.526,10742.587,17259.457,29004.986,38935.125,19873.787,51564.418,25065.041,14621.274,12891.104,13319.911,12532.521,31961.957,11168.233,19262.641,20492.17,20887.535,31961.957,14915.58,20887.535,13576.897,17046.377,11488.144,15980.979,15448.279,21178.355,23438.77,21307.973,42970.348,19336.658,15665.651,11816.846,20410.916,19365.102,20887.535,9588.5869,15980.979,13317.482,38354.348,24355.109,18319.277,30738.256,25569.566,41775.07,17046.377,27531.863,15576.752,10653.986,14344.52,34092.754,18442.953,38351.035,12807.606,13637.102,13576.897,25414.027,16543.584,20331.223,15883.768,24930.326,26025.057,18644.475,13850.182,13850.182,26639.822,15039.622,13765.932,20492.17,12784.783,10589.178
3,32826.453,25615.213,40177.277,30616.373,17898.697,15665.651,28552.682,18798.781,25782.209,17046.377,25414.027,22976.287,18442.953,19060.521,36524.797,28689.039,53279.645,27380.744,45118.867,21307.973,19177.174,20492.17,25414.027,21307.973,12707.014,38650.5,36885.906,41827.254,24600.525,21485.174,18001.604,20887.535,37597.563,41775.07,24707.951,46996.953,28198.172,16710.027,19177.174,18001.604,15980.979,38121.043,19060.521,23438.77,25414.027,25569.566,36553.184,21178.355,21307.973,18047.547,30738.256,22373.371,26109.418,20119.438,26104.486,29201.344,25569.566,31331.303,19336.658,22541.389,18442.953,26856.469,31331.303,25674.783,24590.605,18442.953,17472.145,40284.703,31961.957,20887.535,31767.535,33302.02,51230.426,22479.91,25615.213,21178.355,14824.85,21094.893,42356.711,25065.041,44474.547,21516.779,21307.973,20492.17,31331.303,18442.953,26127.518,20887.535,26634.965,31767.535,22373.371,23296.191,19467.563,27531.863,15822.308,17754.404,31331.303,22183.443,15369.128
4,34944.289,30363.859,49769.137,31961.957,23633.691,20492.17,31331.303,21377.748,24504.168,21178.355,26856.469,30738.256,22541.389,20887.535,42615.945,30079.244,57440.719,31331.303,46107.383,25414.027,20887.535,25065.041,28689.039,26472.945,15665.651,52218.836,35861.301,37599.055,26472.945,21485.174,16906.041,22541.389,38673.316,56353.469,26856.469,53712.938,26856.469,21307.973,30708.617,21485.174,17418.346,39179.961,18111.775,31331.303,36030.996,28590.781,50130.082,21307.973,26235.84,25569.566,17754.404,20119.438,26109.418,21516.779,26109.418,31767.535,25569.566,57181.563,26639.822,18001.604,24020.664,32227.762,31961.957,29242.549,32826.453,18798.781,20410.916,41775.07,31961.957,23296.191,33879.676,36223.551,52218.836,21485.174,32227.762,23565.996,18798.781,21485.174,42615.945,20887.535,48341.645,21485.174,22559.434,22344.582,26109.418,25065.041,26856.469,21840.672,17046.377,29649.699,31331.303,25065.041,24707.951,32826.453,16113.881,21178.355,31767.535,23971.469,20492.17
5,37599.055,33885.371,61476.512,27153.795,24590.605,21467.781,31767.535,23096.563,24063.396,30896.559,29831.16,32375.678,23438.77,24590.605,30079.244,31767.535,47651.301,30738.256,53712.938,26472.945,22541.389,21178.355,30738.256,26109.418,19843.158,53712.938,40984.34,46107.383,29004.986,26472.945,19320.969,23438.77,40485.145,51230.426,25782.209,52945.891,35861.301,22129.73,26472.945,21516.779,20887.535,42970.348,20492.17,21178.355,34913.41,29649.699,46107.383,28198.172,26856.469,28689.039,22373.371,28590.781,30738.256,25615.213,28590.781,31767.535,20242.572,58240.48,22541.389,21734.131,25782.209,26634.965,37062.125,31331.303,30738.256,20365.346,21178.355,43681.344,37062.125,20887.535,34836.691,32227.762,59299.398,31762.865,42356.711,21485.174,20119.438,30723.801,42356.711,24355.109,41775.07,19713.469,24504.168,25414.027,30738.256,26472.945,28929.234,24355.109,27531.863,35158.152,27700.363,26634.965,27664.43,29004.986,19060.521,19336.658,36003.207,26856.469,18001.604
6,38354.348,35861.301,69826.82,31153.504,25065.041,19177.174,33885.371,22541.389,25782.209,26634.965,31331.303,31331.303,28575.283,28590.781,47267.383,32764.891,52945.891,31331.303,50828.055,24504.168,20492.17,29649.699,31331.303,26634.965,19425.406,53269.93,41775.07,44746.742,31767.535,28659.223,20887.535,24020.664,41775.07,54307.59,28590.781,56353.469,46107.383,22872.625,30738.256,21485.174,21106.936,44746.742,20668.732,38121.043,26856.469,28765.762,46107.383,26109.418,31961.957,26856.469,29831.16,28689.039,27487.283,28198.172,31331.303,33885.371,19336.658,50130.082,30738.256,26109.418,27664.43,31767.535,40821.832,31331.303,26634.965,25414.027,27930.727,39747.574,37062.125,26472.945,30286.926,37062.125,60358.316,26109.418,36223.551,31767.535,20887.535,30286.926,42615.945,31331.303,47651.301,21178.355,30738.256,27664.43,31331.303,29831.16,32227.762,24590.605,22643.85,26856.469,31331.303,24355.109,26367.053,30738.256,16113.881,19336.658,40984.34,23770.918,18369.824
7,42356.711,34805.984,59299.398,33885.371,26856.469,21516.779,40730.691,21307.973,23633.691,30079.244,31961.957,34944.289,29971.818,30738.256,39100.129,36223.551,61476.512,31455.482,56353.469,26631.607,25615.213,26639.822,31767.535,31961.957,24355.109,55328.859,41775.07,55400.727,31767.535,31767.535,23296.191,27869.352,42615.945,61476.512,28720.359,48341.645,41775.07,24600.525,24504.168,22373.371,20410.916,46996.953,22976.287,32787.473,37599.055,30079.244,51230.426,26856.469,31961.957,25414.027,30738.256,29649.699,34376.281,26634.965,26634.965,30738.256,20492.17,58485.098,29508.727,23633.691,26634.965,37597.563,32787.473,34414.828,25615.213,23825.65,24590.605,44474.547,37599.055,28126.523,33302.02,36202.52,62662.605,30738.256,37288.949,30079.244,22140.787,32227.762,44160.629,34376.281,43446.07,19177.174,30363.859,28689.039,20119.438,36003.207,32375.678,25943.486,35450.539,26639.822,34376.281,21307.973,25782.209,31961.957,23565.996,21178.355,35508.809,28360.43,18852.797
8,42615.945,40730.691,69826.82,37597.563,23438.77,21485.174,36553.184,25569.566,26109.418,25889.635,33302.02,38034.73,28590.781,27700.363,38354.348,36847.074,61988.816,38243.609,53712.938,30738.256,30738.256,24020.664,32227.762,27561.971,20088.639,53712.938,47942.938,58240.48,32814.277,34464.434,21004.475,24717.248,48341.645,62662.605,26472.945,69250.906,48041.328,25414.027,30738.256,23438.77,28765.762,48041.328,23296.191,36553.184,37062.125,26856.469,53712.938,27700.363,31331.303,25782.209,37062.125,26109.418,31331.303,28198.172,32826.453,30738.256,29649.699,52945.891,33420.055,30896.559,21307.973,37062.125,35861.301,37090.828,32787.473,25065.041,30079.244,52853.531,40984.34,30079.244,30079.244,33885.371,66599.555,31961.957,40238.875,33240.438,26109.418,32227.762,42356.711,19336.658,47651.301,25782.209,30079.244,31331.303,42615.945,31767.535,35473.746,27467.107,33420.055,30708.617,26109.418,20492.17,31961.957,33302.02,18798.781,20365.346,40984.34,30896.559,15883.768
9,40984.34,38673.316,68185.508,47942.938,25065.041,26634.965,31331.303,28198.172,29713.648,25615.213,34092.754,43033.559,34092.754,27930.727,55328.859,37062.125,60573.852,37288.949,55328.859,30286.926,11065.772,31331.303,35158.152,27153.795,25102.91,64455.523,49181.211,63535.07,32787.473,34092.754,21931.912,24355.109,46107.383,64593.988,25036.867,86831.258,46592.383,26472.945,31767.535,21516.779,26634.965,51139.133,21178.355,32787.473,37288.949,29242.549,53269.93,31331.303,34092.754,20242.572,31961.957,32227.762,27930.727,31429.258,31767.535,36553.184,25414.027,56353.469,29831.16,27357.049,21307.973,36003.207,30738.256,37288.949,27153.795,28590.781,21414.512,53712.938,42356.711,31767.535,34836.691,38422.82,66711.82,36970.938,41775.07,36885.906,24930.326,31961.957,42356.711,32787.473,48341.645,27531.863,30738.256,29831.16,39686.316,31767.535,40984.34,28996.422,30896.559,26856.469,30920.4,27153.795,31767.535,26634.965,20492.17,27930.727,48341.645,26472.945,24020.664
10,40984.34,39747.574,61476.512,38354.348,23565.996,25414.027,42356.711,26639.822,34836.691,32787.473,34913.41,37599.055,33885.371,26634.965,42923.883,37910.516,59299.398,37062.125,58240.48,29831.16,21485.174,31961.957,36448.746,19060.521,20492.17,69250.906,51139.133,57181.563,33420.055,39164.129,22373.371,20887.535,49769.137,67678.297,24504.168,77346.633,47644.297,26634.965,31767.535,21178.355,33812.082,52638.68,22767.412,29542.115,21485.174,27700.363,54335.328,29713.648,34464.434,30814.508,26634.965,43415.629,27700.363,31748.879,30708.617,36885.906,28198.172,42970.348,26109.418,32787.473,27664.43,35508.809,38354.348,33885.371,20242.572,20492.17,29242.549,53712.938,40821.832,31331.303,29004.986,41775.07,69250.906,36553.184,42615.945,36850.34,21307.973,28590.781,41775.07,25782.209,54304.254,26856.469,32227.762,29242.549,36885.906,27930.727,34376.281,29242.549,19060.521,36524.797,38935.125,28689.039,34092.754,29004.986,24898.365,27531.863,47942.938,26856.469,18798.781
11,41775.07,46107.383,69250.906,42615.945,35861.301,23633.691,46984.078,29242.549,24922.803,29649.699,36003.207,42970.348,37288.949,32227.762,57440.719,37599.055,63923.914,33885.371,62662.605,31767.535,13832.215,38935.125,37062.125,33420.055,31331.303,58240.48,51230.426,61476.512,35861.301,35861.301,25615.213,21307.973,47651.301,65574.945,25569.566,82595.586,52218.836,28590.781,34944.289,18798.781,27700.363,51230.426,28791.5,39857.273,37910.516,28765.762,63525.73,30809.113,42615.945,34092.754,42615.945,36553.184,29831.16,29242.549,30496.832,39747.574,20799.553,54307.59,26109.418,29713.648,28929.234,40984.34,41775.07,36553.184,25065.041,27930.727,24020.664,53269.93,41775.07,29242.549,32227.762,38673.316,67120.109,35508.809,37062.125,30738.256,29713.648,30225.951,42615.945,23633.691,51230.426,31767.535,31961.957,33628.93,42970.348,23438.77,40238.875,26211.914,42356.711,27930.727,20119.438,21307.973,33420.055,27153.795,26631.607,26109.418,42970.348,30079.244,26472.945
12,42970.348,40238.875,84594.516,42356.711,27664.43,22237.273,40472.039,26634.965,25414.027,32227.762,36553.184,40821.832,34092.754,25820.135,48816.109,38354.348,66840.109,36553.184,63535.07,32787.473,25414.027,30809.113,37597.563,30738.256,32227.762,71722.602,52218.836,62662.605,34376.281,37599.055,25615.213,23565.996,47942.938,66599.555,21178.355,30079.244,51564.418,28689.039,26631.607,25782.209,23296.191,52945.891,25615.213,30896.559,36223.551,26109.418,53269.93,31331.303,33885.371,27153.795,38641.938,33812.082,27531.863,33027.355,33420.055,42356.711,20860.682,52218.836,30738.256,26634.965,34836.691,41297.793,43033.559,34836.691,32227.762,26634.965,28765.762,53269.93,41775.07,30738.256,14621.274,41775.07,73512.5,26109.418,42356.711,33885.371,20887.535,36010.473,41775.07,32227.762,41775.07,26856.469,30738.256,31767.535,46877.539,39419.746,38121.043,30683.479,32787.473,25414.027,30079.244,26856.469,31331.303,26472.945,26639.822,30079.244,58485.098,31767.535,25820.135
13,40821.832,36553.184,74124.25,41775.07,31767.535,31767.535,49860.652,21485.174,31961.957,20887.535,36885.906,42008.949,34464.434,31961.957,53269.93,40984.34,61417.234,32227.762,61793.117,29713.648,26472.945,25922.596,34836.691,36885.906,26634.965,62662.605,51230.426,62662.605,37062.125,37599.055,30079.244,23053.691,47942.938,75195.125,25569.566,69826.82,49607.895,31331.303,30738.256,27700.363,26856.469,49181.211,23438.77,40485.145,32227.762,31331.303,52945.891,21485.174,36885.906,28765.762,36553.184,46265.891,31762.865,31767.535,34836.691,40378.605,21307.973,56353.469,31767.535,31331.303,21926.623,31331.303,36553.184,37288.949,19177.174,28765.762,27700.363,56353.469,43033.559,34838.395,27531.863,45082.777,69250.906,28765.762,41775.07,44581.738,21485.174,39419.746,40984.34,32826.453,53712.938,25615.213,34836.691,36553.184,42623.715,39497.633,42356.711,28689.039,40485.145,29764.736,29649.699,26109.418,29713.648,34944.289,23498.477,24610.707,62858.516,34376.281,27930.727
14,39747.574,37597.563,73106.367,42356.711,31961.957,24707.951,43863.824,29542.115,30496.832,20156.471,37288.949,50547.832,34944.289,25615.213,42615.945,40984.34,46996.953,45118.867,63525.73,30079.244,19336.658,26634.965,38641.938,31331.303,17418.346,74577.898,55861.453,64455.523,37175.539,36553.184,27153.795,17046.377,48341.645,70697.992,24504.168,57440.719,56122.645,27664.43,34092.754,18742.846,31153.504,49591.055,26634.965,42615.945,30738.256,30123.49,51230.426,29660.299,35450.539,32375.678,41775.07,46996.953,29242.549,35450.539,27664.43,35861.301,23418.84,58596.922,40984.34,30738.256,26109.418,48710.219,27930.727,31961.957,23565.996,27531.863,29831.16,58596.922,44474.547,36553.184,25782.209,44908.199,69250.906,28126.523,53279.645,37599.055,20492.17,41550.547,42615.945,40485.145,63535.07,33885.371,37597.563,35861.301,55861.453,37288.949,40984.34,30738.256,51139.133,25414.027,25414.027,25065.041,33302.02,21178.355,19981.213,24590.605,51230.426,35861.301,25615.213
15,42356.711,45333.719,75198.109,34631.77,19262.641,28689.039,41775.07,32375.678,19672.484,25143.406,37599.055,42615.945,40238.875,30079.244,58596.922,41775.07,75198.109,37599.055,64550.34,31331.303,10742.587,37288.949,37062.125,38673.316,26211.914,78328.258,56353.469,68829.656,38121.043,44908.199,25569.566,21305.285,42819.445,69250.906,23565.996,63535.07,52945.891,30738.256,44853.281,22976.287,32227.762,52945.891,21485.174,42971.422,44746.742,25065.041,63923.914,31767.535,43681.344,38673.316,37599.055,44058.168,26634.965,36553.184,31767.535,38121.043,16095.551,40984.34,37288.949,23565.996,29242.549,39652.352,30738.256,32707.736,17754.404,30738.256,16113.881,55861.453,42356.711,34464.434,31767.535,42970.348,71722.602,31331.303,43033.559,29004.986,22349.662,45763.422,42615.945,21307.973,49181.211,26472.945,31767.535,33885.371,51230.426,37599.055,37597.563,28198.172,40984.34,35861.301,26109.418,26472.945,35450.539,19774.945,18001.604,23633.691,52218.836,38935.125,26109.418
16,39959.734,36524.797,24815.377,42615.945,24461.551,24143.326,46107.383,29831.16,22976.287,22541.389,37288.949,58240.48,39959.734,26525.891,61476.512,40984.34,73315.25,37288.949,63535.07,31961.957,13428.234,31961.957,34944.289,46996.953,26472.945,62662.605,57440.719,73106.367,39686.316,40984.34,26208.586,16942.686,53269.93,74123.852,21485.174,62662.605,52218.836,28897.561,45952.574,18798.781,31331.303,52945.891,26109.418,36553.184,42615.945,29831.16,56353.469,22881.711,42970.348,35797.395,37062.125,38121.043,36223.551,35861.301,31767.535,41775.07,27153.795,51230.426,39686.316,37910.516,29406.266,37288.949,30738.256,32787.473,21485.174,25615.213,30738.256,52945.891,42970.348,31026.291,34944.289,43863.824,73106.367,30896.559,42356.711,39686.316,24590.605,40984.34,42615.945,25615.213,55861.453,31767.535,39179.961,33027.355,53263.215,36970.938,41775.07,30079.244,37910.516,31767.535,31331.303,30286.926,31961.957,26109.418,15665.651,21414.512,56466.125,37599.055,30738.256
17,41297.793,41775.07,80569.406,39047.832,35861.301,31331.303,46107.383,37597.563,28233.063,22237.273,37599.055,53269.93,43863.824,30738.256,52255.035,40984.34,74577.898,46107.383,67884.484,30738.256,21516.779,38673.316,39210.445,34092.754,26472.945,83654.508,55861.453,56466.125,40984.34,42970.348,29004.986,22373.371,47942.938,69250.906,22976.287,78359.922,48341.645,28689.039,42648.07,23463.535,30708.617,50073.734,30496.832,47942.938,32227.762,29242.549,52945.891,37062.125,35158.152,37062.125,47651.301,25569.566,34376.281,35158.152,29004.986,37062.125,26472.945,57531.523,22976.287,30738.256,33402.238,49181.211,49415.902,35861.301,29649.699,31331.303,24930.326,58240.48,41775.07,36885.906,27501.023,37597.563,73106.367,35861.301,42970.348,38354.348,21485.174,37597.563,42970.348,44474.547,61476.512,37179.813,21914.879,31331.303,47131.992,36885.906,42615.945,28253.004,23438.77,18798.781,38121.043,18798.781,30225.951,21485.174,23418.84,27152.127,53712.938,36524.797,31331.303
18,40238.875,41297.793,96683.289,46996.953,42615.945,27531.863,42356.711,36030.996,26634.965,19873.787,37597.563,31961.957,39419.746,31961.957,78328.258,39959.734,69826.82,52218.836,71975.336,33302.02,26109.418,34464.434,34944.289,42356.711,19177.174,73771.813,55861.453,52945.891,39179.961,38354.348,24590.605,29004.986,41775.07,77346.633,23811.789,42970.348,56353.469,33302.02,37062.125,21485.174,32227.762,57440.719,26856.469,48041.328,42356.711,28484.117,57440.719,35861.301,41775.07,37599.055,37910.516,43937.184,37599.055,34698.559,28279.195,38028.758,24778.678,47131.992,37599.055,40238.875,28198.172,42819.445,34324.387,34092.754,23296.191,30738.256,21485.174,57181.563,41252.879,34376.281,24170.822,51230.426,74124.25,31961.957,35861.301,37288.949,29226.131,45118.867,42970.348,21307.973,62662.605,34836.691,33885.371,35861.301,52945.891,34376.281,44474.547,31331.303,46996.953,33839.148,30738.256,24504.168,30738.256,31331.303,26109.418,27700.363,50073.734,35861.301,10867.065
